year,apt_name,total_arrival_delay_minutes,disruption_delay,capacity_delay,weather_delay,event_delay,staffing_delay,total_taxiout_additional_minutes,avg_arrival_delay_per_flight_imputed,total_arrival_delay_minutes_imputed
2018,Frankfurt,11219,6276,0,4943,0,0,61017.15833,0.610059815,11219
2018,Frankfurt,5441,1,605,4835,0,0,63604.85,0.309130163,5441
2018,Frankfurt,9104,6219,785,2100,0,0,77712.785,0.441320471,9104
2018,Frankfurt,18968,11,309,18648,0,0,85898.03,0.884247821,18968
2018,Frankfurt,62215,0,0,62215,0,0,92014.06167,2.720970916,62215
2018,Frankfurt,46359,0,918,45441,0,0,91265.51833,2.050648029,46359
2018,Frankfurt,21196,0,228,20968,0,0,80548.35333,0.908724544,21196
2018,Frankfurt,18777,28,0,18749,0,0,100291.9967,0.809004739,18777
2018,Frankfurt,5012,0,537,4475,0,0,103455.3833,0.218169155,5012
2018,Frankfurt,1061,0,211,845,5,0,96581.275,0.045587351,1061
2018,Frankfurt,9546,0,639,8907,0,0,79443.77167,0.46373573,9546
2018,Frankfurt,13455,0,0,13455,0,0,74117.14833,0.701475418,13455
2019,Frankfurt,7839,0,0,7839,0,0,62570.44833,0.416635663,7839
2019,Frankfurt,1697,0,0,1697,0,0,64412.90167,0.09208313,1697
2019,Frankfurt,11079,0,507,10572,0,0,82393.70333,0.526443336,11079
2019,Frankfurt,7485,0,0,7485,0,0,82752.65,0.342609969,7485
2019,Frankfurt,31219,1983,1251,27985,0,0,91541.15,1.351354861,31219
2019,Frankfurt,28052,0,0,28052,0,0,86237.855,1.223375491,28052
2019,Frankfurt,24283,2257,280,21746,0,0,72755.67833,1.030950157,24283
2019,Frankfurt,28323,118,0,28205,0,0,71680.55833,1.220345556,28323
2019,Frankfurt,5235,1445,356,3403,0,31,95134.885,0.22431228,5235
2019,Frankfurt,12776,0,121,12655,0,0,97874.93333,0.556567197,12776
2019,Frankfurt,10026,0,0,10026,0,0,74461.34167,0.517284078,10026
