apt_name,total_taxiout_additional_minutes,delay_type,delay_minutes
Frankfurt,61017.15833,Disruption,6276
Frankfurt,61017.15833,Capacity,0
Frankfurt,61017.15833,Weather,4943
Frankfurt,61017.15833,Event,0
Frankfurt,61017.15833,Staffing,0
Frankfurt,63604.85,Disruption,1
Frankfurt,63604.85,Capacity,605
Frankfurt,63604.85,Weather,4835
Frankfurt,63604.85,Event,0
Frankfurt,63604.85,Staffing,0
Frankfurt,77712.785,Disruption,6219
Frankfurt,77712.785,Capacity,785
Frankfurt,77712.785,Weather,2100
Frankfurt,77712.785,Event,0
Frankfurt,77712.785,Staffing,0
Frankfurt,85898.03,Disruption,11
Frankfurt,85898.03,Capacity,309
Frankfurt,85898.03,Weather,18648
Frankfurt,85898.03,Event,0
Frankfurt,85898.03,Staffing,0
Frankfurt,92014.06167,Disruption,0
Frankfurt,92014.06167,Capacity,0
Frankfurt,92014.06167,Weather,62215
Frankfurt,92014.06167,Event,0
Frankfurt,92014.06167,Staffing,0
Frankfurt,91265.51833,Disruption,0
Frankfurt,91265.51833,Capacity,918
Frankfurt,91265.51833,Weather,45441
Frankfurt,91265.51833,Event,0
Frankfurt,91265.51833,Staffing,0
Frankfurt,80548.35333,Disruption,0
Frankfurt,80548.35333,Capacity,228
Frankfurt,80548.35333,Weather,20968
Frankfurt,80548.35333,Event,0
Frankfurt,80548.35333,Staffing,0
Frankfurt,100291.9967,Disruption,28
Frankfurt,100291.9967,Capacity,0
Frankfurt,100291.9967,Weather,18749
Frankfurt,100291.9967,Event,0
Frankfurt,100291.9967,Staffing,0
Frankfurt,103455.3833,Disruption,0
Frankfurt,103455.3833,Capacity,537
Frankfurt,103455.3833,Weather,4475
Frankfurt,103455.3833,Event,0
Frankfurt,103455.3833,Staffing,0
Frankfurt,96581.275,Disruption,0
Frankfurt,96581.275,Capacity,211
Frankfurt,96581.275,Weather,845
Frankfurt,96581.275,Event,5
Frankfurt,96581.275,Staffing,0
Frankfurt,79443.77167,Disruption,0
Frankfurt,79443.77167,Capacity,639
Frankfurt,79443.77167,Weather,8907
Frankfurt,79443.77167,Event,0
Frankfurt,79443.77167,Staffing,0
Frankfurt,74117.14833,Disruption,0
Frankfurt,74117.14833,Capacity,0
Frankfurt,74117.14833,Weather,13455
Frankfurt,74117.14833,Event,0
Frankfurt,74117.14833,Staffing,0
Frankfurt,62570.44833,Disruption,0
Frankfurt,62570.44833,Capacity,0
Frankfurt,62570.44833,Weather,7839
Frankfurt,62570.44833,Event,0
Frankfurt,62570.44833,Staffing,0
Frankfurt,64412.90167,Disruption,0
Frankfurt,64412.90167,Capacity,0
Frankfurt,64412.90167,Weather,1697
Frankfurt,64412.90167,Event,0
Frankfurt,64412.90167,Staffing,0
Frankfurt,82393.70333,Disruption,0
Frankfurt,82393.70333,Capacity,507
Frankfurt,82393.70333,Weather,10572
Frankfurt,82393.70333,Event,0
Frankfurt,82393.70333,Staffing,0
Frankfurt,82752.65,Disruption,0
Frankfurt,82752.65,Capacity,0
Frankfurt,82752.65,Weather,7485
Frankfurt,82752.65,Event,0
Frankfurt,82752.65,Staffing,0
Frankfurt,91541.15,Disruption,1983
Frankfurt,91541.15,Capacity,1251
Frankfurt,91541.15,Weather,27985
Frankfurt,91541.15,Event,0
Frankfurt,91541.15,Staffing,0
Frankfurt,86237.855,Disruption,0
Frankfurt,86237.855,Capacity,0
Frankfurt,86237.855,Weather,28052
Frankfurt,86237.855,Event,0
Frankfurt,86237.855,Staffing,0
Frankfurt,72755.67833,Disruption,2257
Frankfurt,72755.67833,Capacity,280
Frankfurt,72755.67833,Weather,21746
Frankfurt,72755.67833,Event,0
Frankfurt,72755.67833,Staffing,0
Frankfurt,71680.55833,Disruption,118
Frankfurt,71680.55833,Capacity,0
Frankfurt,71680.55833,Weather,28205
Frankfurt,71680.55833,Event,0
Frankfurt,71680.55833,Staffing,0
Frankfurt,95134.885,Disruption,1445
Frankfurt,95134.885,Capacity,356
Frankfurt,95134.885,Weather,3403
Frankfurt,95134.885,Event,0
Frankfurt,95134.885,Staffing,31
Frankfurt,97874.93333,Disruption,0
Frankfurt,97874.93333,Capacity,121
Frankfurt,97874.93333,Weather,12655
Frankfurt,97874.93333,Event,0
Frankfurt,97874.93333,Staffing,0
Frankfurt,74461.34167,Disruption,0
Frankfurt,74461.34167,Capacity,0
Frankfurt,74461.34167,Weather,10026
Frankfurt,74461.34167,Event,0
Frankfurt,74461.34167,Staffing,0
Frankfurt,66401.87833,Disruption,0
Frankfurt,66401.87833,Capacity,0
Frankfurt,66401.87833,Weather,8088
Frankfurt,66401.87833,Event,0
Frankfurt,66401.87833,Staffing,0
Frankfurt,53960.28,Disruption,0
Frankfurt,53960.28,Capacity,0
Frankfurt,53960.28,Weather,12541
Frankfurt,53960.28,Event,0
Frankfurt,53960.28,Staffing,0
Frankfurt,59429.935,Disruption,163
Frankfurt,59429.935,Capacity,0
Frankfurt,59429.935,Weather,4947
Frankfurt,59429.935,Event,0
Frankfurt,59429.935,Staffing,0
